report_year,report_week,refnr,country,country_code,danger_short,measures,reactingcountry,descript_category,countryoforigin,descript_product,descript_type,descript_descr,descript_brand
2012,23,A12/0846/12,Portugal,PT,Damage to sight ,Withdrawal from the market ordered by the authorities.,,Laser pointers,China," Laser pointer ""3 in 1 & Laser Pen"""," Type: 3798, Number of model: SIN 2010", Pen-shaped laser pointer with an additional LED light and 3 batteries (SR41 - 1.55 V). The product emits a collimated laser beam with small diameter (of the order of a few millimetres) and the white LED(s) can be activated separately and simultaneously.,Unknown
2012,23,A12/0847/12,Portugal,PT,Damage to sight ,Withdrawal from the market ordered by the authorities.,,Laser pointers,China," Laser pointer ""Laser LED Light""", Type: 3793  Number of model: SIN 2010101 JP, Key-chain laser pointer with additional LED light and 3 batteries (LR44 - 1.55 V). The product emits a collimated laser beam with small diameter (of the order of a few millimeters) and the white LED(s) can be activated separately and simultaneously.,Unknown
2012,23,A12/0848/12,Portugal,PT,Damage to sight ,Withdrawal from the market ordered by the authorities.,,Laser pointers,China," Laser pointer ""4 in 1 Laser & Led Light""", Type: 0411146  Number of model: 2012908., Laser pointer with an additional LED light (flexible and magnetic) and 3 batteries (LR44 - 1.55 V). The product emits a collimated laser beam with small diameter (of the order of a few millimetres) and the white LED(s) can be activated separately and simultaneously.,JD
2012,23,A12/0849/12,Portugal,PT,Damage to sight ,Withdrawal from the market ordered by the authorities.,,Laser pointers,China," Laser pointer ""Key-ring 2 in Laser & Led Light""", Number of model: SIN 2011108, Key-ring laser pointer with additional LED light and 3 batteries (LR44 - 1.55 V). The product emits a collimated laser beam with small diameter (of the order of a few millimetres) and the white LED(s) can be activated separately and simultaneously.,Unknown
2012,23,A12/0850/12,Portugal,PT,Chemical ,Sales ban and withdrawal from the market ordered by the authorities. ,,Cosmetics,Italy," Hair treatment product ""Spazzola Progressiva – Fluido 2"""," - Batch number: PR.0104110, Barcode: 8 010820 012291, Expiration date: EX.02-15.", Grey plastic bottle. Volume 500 ml.,Claudia Pazzini
2012,23,A12/0851/12,Finland,FI,Electric shock ,Recall from consumers ordered by the authorities.,,Electrical appliances and equipment,China," LED lamp ""Power LED JDR E14""", Type: SL18 0913 Barcode: 7 330024 930155," LED lamp: DR-3x1W-E14, 240V.",Swedlux
2012,23,A12/0852/12,Finland,FI,Electric shock ,Recall from consumers ordered by the authorities.,,Electrical appliances and equipment,China," LED lamp ""Green X""", Type: 439 663 (GU10) Barcode: 6 430038 496638," LED lamp DR-6W-GU10, 220-240V.",Lexxa
2012,23,A12/0853/12,Cyprus,CY,Electric shock and Fire ,Sales ban ordered by the authorities.,,Electrical appliances and equipment,United Kingdom," Extension lead ""Four Way 13A Multi-Socket with 3m Flex""", Model: C3814 Barcode: 5016211594332," Extension lead with four sockets and a cable length of 3 m. Packed in a blue semi-transparent plastic bag. Instructions, information and warnings are on the packaging.",Deta
2012,23,A12/0854/12,Finland,FI,Chemical,Import rejected by the customs authorities.  ,,"Clothing, textiles and fashion items",India, Scarf," ST.SK4174B Description: A blue and white scarf with pink narrow stripes, size approx. 50 x 180 cm. "," A blue and white scarf with pink narrow stripes, size approx. 50 x 180 cm. ",AmandaB Collection
2012,23,A12/0855/12,Finland,FI,Chemical and Suffocation ,Import rejected by the customs authorities. ,,Toys,China," Toy building set ""Music Blocks""", Item number in invoice: OC091232," Colourful, plastic building blocks comprised of wild animals: lion, zebra, elephant, crocodile, etc. and jungle type plants and palm trees with a battery operated music box inside one tree. Also, softer plastic blocks featuring liana and rope ladder, packed in a large cardboard box.",Ke Xiang
2012,23,A12/0856/12,Finland,FI,Suffocation ,Import rejected by the customs authorities. ,,Toys,China," Toy- building blocks ""City Series, Police & Rescuers""", OC0112737," Colourful, plastic building block set containing two police men, a car, stickers and building blocks (36 pcs), packed in a cardboard box.",Xiangfeng Toys
2012,23,A12/0857/12,Slovakia,SK,Choking ,Sales ban and withdrawal from the market ordered by the authorities. ,,Toys,China, Teddy bear," CM-5116, "," Plush teddy bear in green trousers and white and green T-shirt. Eyes are made of small balls sewn to the head, 2 buttons are glued to the braces of the trousers. Marking - CE, CM-5116, Pliš.",Unknown
2012,23,A12/0858/12,Finland,FI, Chemical ,Voluntary withdrawal of the product from the market. ,,Cosmetics,United States,"  Hair dye product ""color""",," The package contains: Silk Therapy color (1) (60 ml), Developer (2) (60 ml), Sealer Plus (3) (15 ml), Biosilk Silk Therapy (4) (15 ml).",Silk Therapy USA
2012,23,A12/0859/12,Sweden,SE," Burns, Chemical and Fire ",Withdrawal from the market ordered by the authorities.,,Decorative articles,Netherlands," Oil lamp ""Flicker""",16052, Oil lamp that looks like a water glass with three metal tubes containing the wicks. A silicon lid can be put on top of the glass to fasten the tubes.,Duo Design Holland
2012,23,A12/0860/12,Netherlands,NL, Chemical ,Sales ban ordered by the authorities.,,Toys,China," Doll ""Magically beautiful girl""",," Plastic doll in a cardboard box with plastic display, which includes the symbol indicating the product is not suitable for children under 3 years of age.",Unknown
2012,23,A12/0861/12,Spain,ES, Choking,Withdrawal from the market ordered by the authorities. ,,Childcare articles and children's equipment,China," Soother ""Baby thing series""", Reference 92920 barcode: 6882009929209," Soother with a transparent teat and a plastic cover. It comes in a plastic blister pack, the cardboard with coloured drawings and an animal. The reverse side has a label with the barcode, the CE mark and the symbol indicating that the product in not recommended for children under 3 years of age. ",MUMLOVE
2012,23,A12//0862/12,Germany,DE, Chemical ,Voluntary withdrawal from the market.,,Cosmetics,India, Black Henna (hair dye),," Printed outer carton containing six printed paper pouches, each with a welded, laminated aluminium foil sachet and instructions. Each foil sachet contains a further individual printed laminated foil pouch containing 10g of the product.",Afrin´s
2012,23,A12//0863/12,Spain,ES, Choking,Withdrawal from the market ordered by the authorities.,,Childcare articles and children's equipment,China," Soother ""Appeasing Nipple""", Ref. 92921 6882009929216," Blue soother with latex (or similar) teat. It comes in a blister pack, with white cardboard.",MUMLOVE
2012,23,A12//0864/12,France,FR, Burns and Cuts ,Voluntary withdrawal of the product from the market.,,Electrical appliances and equipment,China, Halogen bulb," Batch number: Starts with 10Wxxx, Year of manufacture: 2010", Halogen bulbs of different sizes. 67 different models.,Bricorama In' Light
2012,23,A12//0865/12,Spain,ES, Burns ,Voluntary recall from consumers.,,Electrical appliances and equipment,Italy, Fitted Oven," Models DATID, NUTID and FRAMTID, with production dates 1134-1150 (AASS)"," Built-in oven, production dates 1134-1150 (year week).",IKEA
2012,23,A12//0866/12,Spain,ES, Chemical ,Sales ban ordered by the authorities.,,Toys,China," Doll ""Princess"""," Model 03/LT07/12, ref. 8610 / 8421692086103", Set comprising doll with the clothes of a princess and various accessories. The packaging is a cardboard box with a transparent plastic lid through which the toy is visible.,Unknown
2012,23,A12//0867/12,Spain,ES, Injuries ,Withdrawal from the market ordered by the authorities.,,"Clothing, textiles and fashion items",China, Children's outfit," Ref. JGV 10300 SIZE 3A, 4A and 5A, 8435155499010"," Girl's clothing outfit comprised of a short-sleeved top and short trousers. The collar of the top is red and there are two parallel vertical red stripes at the ends of the sleeves. The trousers have two pockets and two horizontal red stripes. A label is attached to the collar of the top. The front of the label shows the brand name and indicates 3-8 years, showing the drawing of a girl with a hat. The back of the label indicates the importer, reference, sizes 3A, 4A and 5A and the barcode. Another label shows the importer's details, the origin and various symbols and cleaning instructions.",NEWNESS
2012,23,A12//0868/12,Latvia,LV,Burns,Voluntary withdrawal from the market by the supplier.,,Lighters,China," Novelty lighters ""W.S.L.F"" and ""BAOCH""",,,
2012,22,65 1/6,Spain,ES,Choking,Withdrawal from the market ordered by the authorities. ,,Childcare articles and children's equipment,China," Babies' bottle ""Biberón""", Model: Item No 903 (250 ml) and 803030 (220 ml) Barcode: 842928393006 and 8429283803030, Babies' bottles. One of the models has a capacity of 250 ml and the other a capacity of 220 ml. They are packaged in transparent plastic bags through which the bottles are visible. The top is protected by cardboard. Contains advice for use printed on the cardboard label. The bag also contains a sheet of instructions and information for use.,Concorde
2012,22,65 1/4,Romania,RO,Strangulation ,Sales ban and withdrawal from the market ordered by the authorities.,,"Clothing, textiles and fashion items",China, Children's jacket, Style No. ZZ-19," Jacket for children up to two years old, cyclamen and black coloured with hood, zipper closure and belt with buckle. The jacket has the word ""Apple"" sewn on the chest.",Z-Z Apple
2012,22,65 1/3,Hungary,HU,Strangulation ,Withdrawal from the market ordered by the authorities. ,,"Clothing, textiles and fashion items",China, Child’s overall, SY-001," Child’s overall with hood. The hood has an elastic drawstring with plastic toggles. The drawstring forms loops. The product is decorated with an inscription: ""Fashion & Classic Collection”. The product is available in purple and pink colours. Size: 72-102.",Axa Collection
2012,22,65 5/12,Germany,DE,Injuries,Voluntary corrective action taken by the manufacturer.,,Motor vehicles,Germany," Motorcycle ""S 1000 RR"""," Type: K10 Model: S 1000 RR, model year: 2012 EC type approval: e1*2002/24*0421. The notification concerns motorcycles manufactured between 4 October 2010 and 10 April 2012.", Motorcycle.,BMW
2012,22,65 1/2,Hungary,HU,Strangulation ,Withdrawal from the market and recall from consumers ordered by the authorities. ,,"Clothing, textiles and fashion items",China, Boys' sweatshirt, Model: N-8675B, Boys' sweatshirt with hood in dark purple colour with zip-fastener and two pockets. The hood includes a non-fixed drawstring with knots and metal toggles on the ends. The product is decorated with a boy playing the guitar and with an inscription: „Backstage Gira Andalucia 2020”. Size: 134,H&S
2012,22,65 7/12,Finland,FI,Electric shock ,Recall from consumers ordered by the authorities.,,Electrical appliances and equipment,China, Mains adaptor, Type: 46890 Bar Code: 2 220001 344387, AC adaptor with USB output,Goobay
2012,22,65 2/3,Hungary,HU,Injuries ,Withdrawal from the market and recall from consumers ordered by the authorities.,,"Clothing, textiles and fashion items",Unknown, Girls' trousers, Model: HZ-2078," Girls' leisure trousers. The left leg of the trousers is decorated with an embroidered pink and purple floral inscription: ""Dueen"". The waist part of the trousers has a non-fixed drawstring. The product is available in grey and blue colours. Size: 134","""A"" Active sports"
2012,22,65 3/4,Finland,FI,Injuries and Chemical,Import rejected by the customs authorities. ,,Toys,China," Police play-set ""Police play set""", Item number TP-502161 in invoice and B2118/G-06875 on the EC Declaration of Conformity," Toy police set packed in a blister card. Contains an eye-mask, rifle, suction cup cartridges and a target.",Swat
2012,22,65 5/6,United Kingdom,UK,Electric shock ,Voluntary withdrawal from the market.,,Electrical appliances and equipment,China," Charger ""Travel charger for O2XDA Mini"" ", Unknown," Mains charger for mobile phone with dual LED indication, packaged in plastic and card.",ORI
2012,22,65 11/12,United Kingdom,UK,Electric shock ,Seizure of the products ordered by the authorities.,,Electrical appliances and equipment,China, Charger For iPhone 3GS/4G Accessories , Unknown, Mains charger for iPhone in plastic and card packaging .,Unknown
2012,22,66,United Kingdom,UK,Electric shock ,Seizure of the products ordered by the authorities.,,Electrical appliances and equipment,China, Charger  , Model number IPTC, Mains charger for iPod in plastic and card packaging.,i-Power
2012,22,66 1/12,United Kingdom,UK,Electric shock ,Seizure of the products ordered by the authorities.   ,,Electrical appliances and equipment,China, Charger Travel Charger for iPhone 4&3GS/ipod , CT16X-IPO 703-08009-300-04, Mains charger for iPhone in plastic and card packaging.,Unknown
2012,22,66 1/6,Romania,RO,Strangulation ,Withdrawal from the market ordered by the authorities.,,"Clothing, textiles and fashion items",China, Children's tracksuit, DCC-164," Children's tracksuit, size 164, pink coloured, consisting of a top with hood and trousers, packed in a plastic bag.",DCC-FASHION
2012,22,66 1/4,Malta,MT,Electric shock ,Withdrawal from the market ordered by the authorities.,,Electrical appliances and equipment,Spain, Plug adaptor, Model 119, Female part of electrical fixtures used for extending a cable.,Solera
2012,22,66 1/3,Malta,MT,Electric shock ,Voluntary withdrawal from the market.,,Electrical appliances and equipment,Spain, Plug adaptor, Model No 5114," Adaptor , 4 socket bipolar 10A 250V.",Solera
2012,22,66 5/12,Malta,MT,Electric shock ,Voluntary withdrawal from the market.,,Electrical appliances and equipment,Unknown, Plug adaptor, Unknown, A 3-way adaptor for 2-pin plugs with embossed writing indicating 6A 250V on the front and 'Made in Germany' on the back.,Spezialelectric
2012,22,66 1/2,Hungary,HU,Strangulation  and Injuries ,Withdrawal from the market and recall from consumers ordered by the authorities. ,,"Clothing, textiles and fashion items",Unknown, Children’s outfit, Model: ab58048A, Children’s outfit consisting of trousers and jacket with hood and zip-fastener. The hood includes an elastic drawstring with knots and plastic toggles on the ends. The waist part of the trousers has a drawstring. ,Ambitionfly
2012,22,66 7/12,Hungary,HU,Strangulation ,Withdrawal from the market and recall from consumers ordered by the authorities. ,,"Clothing, textiles and fashion items",Unknown, Children’s sweatshirt," Model: N-3237B, Barcode: 558258168"," Children’s sweatshirt with hood, zip-fastener and kangaroo pockets. The hood includes a non-fixed drawstring with knots and metal toggles on the ends. The product is decorated with sequins, a heart and an inscription: ""to be with you"". Size: 134-152",H&S
2012,22,66 2/3,Hungary,HU,Strangulation ,Withdrawal from the market and recall from consumers ordered by the authorities.  ,,"Clothing, textiles and fashion items",China, Children's sweatshirt, Model: CH-005," Children’s sweatshirt with hood, zip-fastener and two pockets. The hood includes a non-fixed drawstring with free ends. The product is decorated with a picture of a child, inscriptions and numbers. Size: 116-122 / 134-140",SunSea
2012,22,66 3/4,Netherlands,NL,Choking,Sales ban and withdrawal from the market ordered by the authorities.,,Toys,China," Wooden ark ""Noah's Ark""", 4500319038 / TR004020/8716019040204/22396," Wooden ark with loose wooden animals and play figures, packaged in a cardboard box with a transparent plastic window.",Trä Present
2012,22,66 5/6,Netherlands,NL,Choking ,"Sales ban, withdrawal from the market and recall from consumers ordered by the authorities.",,Toys,China," Whistle ""Wooden Whistle Colourful""", 4500317798 / TR004177/8716019041775/22359, Multiple types of whistles in transparent packaging.,Trä Present
2012,22,66 11/12,Netherlands,NL,Chemical,Withdrawal from the market ordered by the authorities. ,,Toys,China," Doll ""Beauty A fashion beautiful""", art nr 0208 barcode 8714627202083 Factory item nr 8811, PVC doll in transparent box.,Toi Toys
2012,22,67,Netherlands,NL,Chemical ,Withdrawal from the market ordered by the authorities. ,,Toys,China," Doll ""Elegant girl – Prettiness girl""", Toi-Toys art nr 0269 barcode 8714627102697 Factory item nr JX 900-20," PVC doll in transparent box. i) Prettiness girl, ii) Elegant girl - with an inscription Jian Xin.",Toi Toys
2012,22,67 1/12,Malta,MT,Electric shock ,Voluntary withdrawal from the market.,,Lighting equipment,China, Night-light, Model: NNL-49, A decorative night-light with a switch and a two-pin unfused plug.,New Light
2012,22,67 1/6,Hungary,HU,Strangulation,Withdrawal from the market and recall from consumers ordered by the authorities. ,,"Clothing, textiles and fashion items",Unknown, Children’s outfit, Model: 8066B, Children’s outfit consisting of trousers and a sweatshirt with hood and zip-fastener. The hood of the sweatshirt includes a drawstring with knots and plastic toggles on the ends. The waist area of the trousers includes a non-fixed drawstring. Size:128,QiFeng
2012,22,67 1/4,Netherlands,NL,Burns,Withdrawal from the market ordered by the authorities.,,Kitchen/cooking accessories,China," Frying pan ""Poêle""", 20 cm ‘GOOD’ 80.10.0620," Frying pan sold separately as well as in combination with another frying pan, diameter 28 cm.",Hema
2012,22,67 1/3,Romania,RO,Strangulation ,Sales ban and withdrawal from the market ordered by the authorities.,,"Clothing, textiles and fashion items",Romania, Children's jacket,163," Children's jacket with hood, in various colours and an embroidered polar bear. The jacket is intended for children up to 7 years old and has a zipper from the waist up to the neck and two lateral pockets. The hood has a functional cord with a total length of 86 cm.",S&G
2012,22,67 5/12,Germany,DE,Chemical ,Voluntary withdrawal from the market and recall from consumers by the importer.,,Toys,China, Doll set, bride and bridegroom EAN 0 008953 660975 Product ref. 000895366097 Lot No. 201105," Doll set with bride and bridegroom, approx. 29 cm tall. The bridegroom is wearing a black suit and white plastic shoes. The bride is wearing a long white dress and purple plastic shoes.",Jess Love
2012,22,67 1/2,Netherlands,NL,Chemical ,Sales ban and withdrawal from the market ordered by the authorities.,,Toys,China," Plastic doll ""Baby"""," Art No. 0201, EAN code 8714627102017, Factory item No. 10.071.008", Plastic doll.,Toi Toys
2012,22,67 7/12,Netherlands,NL,Chemical ,Sales ban and withdrawal from the market ordered by the authorities.,,Toys,China," Bubble toy set ""Bubble baby"""," art No. 0269, EAN code 8714627102697, Factory item nr JX 900-20", PVC doll packed with bubble liquid in a transparent box.,Toi Toys
2012,22,67 2/3,Hungary,HU,Strangulation ,Withdrawal from the market and recall from consumers ordered by the authorities. ,,"Clothing, textiles and fashion items",China, Children’s sweatshirt, Model: N-3232C, Children’s sweatshirt with lined hood and zip-fastener. The hood includes a non-fixed drawstring with knots and metal toggles on the ends. The product is decorated with a child riding a bike. The sweater is available in grey and purple colours. Size: 98-128.,H&S
2012,22,67 3/4,Cyprus,CY,"Electric shock, Burns and Fire ",Sales ban ordered by the authorities.,,Electrical appliances and equipment,China," Digital receiver ""Digital Terrestrial Receiver""", SD-1135, Digital terrestrial receiver.,Master-box-SD
2012,22,67 5/6,Cyprus,CY,"Electric shock, Burns and Fire ",Sales ban ordered by the authorities.,,Electrical appliances and equipment,China," Digital receiver ""Digital Terrestrial Receiver""", TV-1134VH, Digital terrestrial receiver.,Okto SD mpeg4
2012,22,67 11/12,Lithuania,LT,Chemical ,Withdrawal from the market and recall from consumers ordered by the authorities. ,,Chemical products,China, Super glue,0.594827586206897," 8 tubes of 3 g glue in a blister pack, the dimensions of which are 285 x 150 mm. The adhesive's packaging has a sticker label that says ""glue"" ""Super Glue"" ""instant 8 pcs. Bonds for a few seconds. For rubber, metal, glass, plastics, ceramics, wood"".",Super Glue
2012,22,68,Lithuania,LT,Choking ,Withdrawal from the market and recall from consumers ordered by the authorities. ,,"Clothing, textiles and fashion items",Poland, Children's clothing," 1) Children's sweatshirt, Baby Tiger, height 68 cm, barcode: 5900195178643, "," 1) Children's sweatshirt  pink and white striped, knitted. Fastener - plastic zipper. The left pocket detail and zipper head are decorated with shiny silver-coloured hard plastic crystals, ",Dada
2012,22,68 1/12,United Kingdom,UK,Choking ,Voluntary withdrawal from the market and recall from consumers by the importer.,,Childcare articles and children's equipment,China, Orthodontic baby soother ," Two batches: 7714 on 29th November 2010 containing 66300 soothers 4617 on 1st June 2011 containing 161,400 soothers. "," Baby soother in one of three colour combinations: Yellow/Blue, Blue/Yellow and Pink/Yellow. All sold in zip-lock, transparent bags with details and instructions printed on one side.",Pretty Cherubs
2012,22,68 1/6,Latvia,LV,Burns ,Voluntary stop of  sales and withdrawal from the market.,,Lighters,China, Novelty lighters,,,
2012,22,68 1/4,Malta,MT,Electric shock ,Voluntary withdrawal from the market.,,Lighting equipment,Spain, Night-light, Referance Number: 60305 Barcode: 420406 603056, Socket-mounted night-light with child-appealing shade.,Dalber
2012,22,68 1/3,Hungary,HU,Injuries ,Withdrawal from the market and recall from consumers ordered by the authorities. ,,"Clothing, textiles and fashion items",China, Children’s trousers, 8F04a," Boys' leisure trousers. The left side of the trousers is decorated with an inscription: „Uhnreb Alksm”. The waist part of the trousers includes a non-fixed drawstring with knots on the ends. The product is available in khaki, green and dark green colours. Size: 98",Playback
2012,22,68 5/12,Hungary,HU,Strangulation and Injuries ,Withdrawal from the market and recall from consumers ordered by the authorities. ,,"Clothing, textiles and fashion items",Unknown, Girls' coat, GX8007, Girls' pink coat with hood and zip-fastener. The hood can be removed by using a zipper. The hood has an elastic drawstring with plastic toggles on the ends. Size: 8.,Nice Wear
2012,22,68 1/2,Hungary,HU,Strangulation and Injuries ,Withdrawal from the market and recall from consumers ordered by the authorities. ,,"Clothing, textiles and fashion items",China, Girl’s outfit, SWF111, Girls' pink outfit consisting of trousers and sweatshirt with hood and zip-fastener. The hood of the sweatshirt has a non-fixed elastic drawstring with plastic toggles on the ends. The waistband of the trousers has an unattached drawstring. Size: XL.,FJHU
2012,22,68 7/12,Hungary,HU,Strangulation and Injuries ,Withdrawal from the market and recall from consumers ordered by the authorities. ,,"Clothing, textiles and fashion items",Unknown, Children’s sleeveless jacket, W-173," Boys' grey sleeveless jacket with hood, zip-fastener and two pockets. The hood can be removed by using a zipper. The hood has a non-fixed elastic drawstring with toggles on the ends. The product is decorated with a gym shoe and an inscription. Size: 122-146.","""A"" Collection Authentic"
2012,22,68 2/3,Hungary,HU,Strangulation ,Withdrawal and recall from consumers ordered by the authorities. ,,"Clothing, textiles and fashion items",Unknown, Children's sweatshirt, Y-064," Children’s sweatshirt with hood, zip-fastener, kangaroo pocket and synthetic fur. The hood has a non-fixed drawstring with free ends. The product is decorated with a picture of a girl's face, rhinestones and inscriptions: ""MissGirl"" and ""Girls"". Size: 4 -12.",YYFY
2012,22,68 3/4,Bulgaria,BG,Choking ,Sales ban ordered by the authorities.,,Food-imitating products,Switzerland," Bath salts ""Prinzessin Sternenzauber DM"""," Barcode 4 010355 803856, DAN: 135655"," Bath salts resembling sweets in the shape of stars, measuring 18.6 mm, with the smell of a foodstuff – a strawberry. They are placed inside a plastic container imitating a jar with a metal closing mechanism and an attractive pink label with various pictures:  a princess with a dwarf, a doe, a squirrel, birds and inscriptions ""Prinzessin Sternenzauber"" DM.",DM Drogerie Markt
2012,22,68 5/6,Ireland,IE,Chemical ,Voluntary withdrawal from the market.,,Other,United Kingdom," Sky lantern ""Wire Free Sky Lanterns""", Unknown," Sky lantern in plastic wrapping, with fuel source connected to frame via chrysotile asbestos containing string.",SkyLanterns.com
2012,22,68 11/12,Bulgaria,BG,Choking,Sales ban ordered by the authorities.,,Food-imitating products,China, Towel with decoration," 11790, B081"," Towels which have been folded in the form of a piece of cake, packed in single cellophane packaging and decorated with food imitating products – strawberries, with labels containing information in Bulgarian.",Sweet love
2012,22,69,Slovakia,SK,Fire and Burns ,Sales ban ordered by the authorities. ,,Lighters,China," Novelty lighters ""Pistol Lighter""",204150," Plastic, black-silver novelty lighter in the shape of a pistol. Marking on the cardboard box ""Pistol lighter"".",Huan Qiu
2012,22,69 1/12,Slovakia,SK,Burns and Fire ,Import rejected by the customs authorities.,,Lighters,China, Novelty lighters, Unknown," Novelty lighters – boot, fire extinguisher, guitar, toilet, hand grenade, light bulb.",Huan Qiu
2012,22,69 1/6,Malta,MT,Chemical ,Import rejected by the customs authorities.,,Cosmetics,Democratic Republic of Congo," Skin lightening product ""Caro White Beauty Lotion""", Manufactured on 06/11 Expired on 06/13 Batch 8B26443/0 Registration Number 02-6822, Skin lightening beauty lotion.,Caro
2012,22,69 1/4,Malta,MT,Chemical ,Import rejected by the customs authorities.,,Cosmetics,Democratic Republic of Congo," Skin lightening product ""Caro White Carrot oil""",, Skin lightening beauty lotion.,Caro
2012,21,63 1/2,Spain,ES,Choking,Withdrawal from the market ordered by the authorities. ,,Toys,China, Plastic flute,," White plastic flute with a removable mouth-piece.  Sold in a plastic bag, which is transparent on one side and blue on the other. It has a label bearing the brand and importer's name, among other information.",Sucesso
